experiment,hamming_loss,micro_f1,macro_f1,samples_f1,subset_accuracy,lrap
exp08_calibrated_ensemble,0.043493034318722396,0.7165005537098561,0.6797010946503318,0.7452821845360972,0.42660550458715596,0.8513087343761575
exp07_threshold_tuning,0.04493713897383622,0.7107709130672498,0.6714805292309101,0.7414367053465812,0.39908256880733944,0.8514949284568772
exp04_classifier_sweep__linsvc_ovr,0.04621134896364254,0.6258596973865199,0.5142056343031922,0.623344354422336,0.3830275229357798,0.8385438660895006
exp06_sbert_embeddings,0.046890927624872576,0.6891891891891893,0.6232527478112686,0.7175059215534121,0.3922018348623853,0.8514949284568772
exp03_word_plus_char_tfidf,0.0490995582738702,0.6655092592592592,0.5981255231362721,0.6819176947954606,0.3738532110091743,0.833778357726592
exp04_classifier_sweep__logreg_ovr,0.0490995582738702,0.6655092592592592,0.5981255231362721,0.6819176947954606,0.3738532110091743,0.833778357726592
exp05_class_imbalance__class_weight_only,0.0490995582738702,0.6655092592592592,0.5981255231362721,0.6819176947954606,0.3738532110091743,0.833778357726592
exp05_class_imbalance__inverse_freq_sample_weight,0.0490995582738702,0.6655092592592592,0.5981255231362721,0.6819176947954606,0.3738532110091743,0.833778357726592
exp02_preprocessing_ablation,0.05130818892286782,0.6516724336793541,0.5787697165320351,0.6629599323743954,0.3623853211009174,0.8258663607086939
exp05_class_imbalance__mlsmote,0.05215766224940537,0.6562150055991041,0.5797720305145825,0.6741438554849242,0.3486238532110092,0.8249052051418092
exp01_baseline_tfidf_lr,0.05232755691471288,0.6435185185185185,0.5535769698081016,0.6534477065777659,0.3577981651376147,0.8136330445822508
exp04_classifier_sweep__complement_nb,0.068212708120965,0.27592425608656446,0.10951725324948108,0.2643904642757854,0.1720183486238532,0.6505121704157961
